"name" "state" "reads_raw" "reads_passed_filter" "refseq_mapped_reads" "refseq_unmapped_reads" "clusters_total" "clusters_hidepth" "hetero_est" "error_est" "reads_consens" "loci_in_assembly" "sites" "site_simple"
"P3_E10_BEL_LBE_SA" 7 2660414 2658585 1366342 1292243 140695 49980 0.004667 0.000843 46499 40738 "BEL_LBE" "BEL"
"P3_E11_GRH_RUM_HAM_SA" 7 1720107 1718902 943241 775661 144920 46901 0.003801 0.000745 42515 36444 "GRH_RUM" "GRH"
"P3_E12_GRH_PIS_STA_SA" 7 2770474 2769770 1486520 1283250 119029 53536 0.003651 0.000747 51870 46212 "GRH_PIS" "GRH"
"P3_F01_ROW_S1_SA" 7 1601714 1600727 864972 735755 94373 34594 0.000969 0.000685 33743 27222 "ROW_S1" "ROW"
"P3_F02_BEL_ROS_SA" 7 1722225 1721682 920524 801158 125937 49883 0.003166 0.000774 47638 38679 "BEL_ROS" "BEL"
"P3_F04_BEL_LBE_SA" 7 1880081 1879388 925647 953741 48707 23879 0.000746 0.000692 23699 18231 "BEL_LBE" "BEL"
"P3_F05_ROW_S1_SA" 7 1278673 1278223 697676 580547 56262 28848 0.000942 0.000684 28622 22405 "ROW_S1" "ROW"
"P3_F06_RUM_S1_SA" 7 3430647 3429164 1735980 1693184 157287 63445 0.003665 0.000783 58582 47348 "RUM_S1" "RUM"
"P3_F07_RUM_S1_SA" 7 2403090 2402436 1249168 1153268 136193 56332 0.003847 0.000855 53581 46138 "RUM_S1" "RUM"
"P3_F08_RUM_S1_SA" 7 2427741 2426550 1277373 1149177 110508 47374 0.001659 0.000712 46109 33847 "RUM_S1" "RUM"
"P3_F10_BEL_LBE_SA" 7 2992992 2991128 1585394 1405734 156546 60003 0.00575 0.000829 54428 46358 "BEL_LBE" "BEL"
"P3_F11_GRH_RUM_HAM_SA" 7 2006402 2005504 1037950 967554 81873 31985 0.001318 0.000702 31357 26085 "GRH_RUM" "GRH"
"P3_F12_GRH_PIS_STA_SA" 7 976879 976135 525717 450418 114552 29036 0.003825 0.000784 26852 25008 "GRH_PIS" "GRH"
"P3_G01_ROW_S1_SA" 7 768044 767450 409438 358012 79049 23094 0.001088 0.000698 22324 18719 "ROW_S1" "ROW"
"P3_G02_BEL_ROS_SA" 7 1818665 1817326 952346 864980 107019 39474 0.001262 0.000728 38456 34457 "BEL_ROS" "BEL"
"P3_G04_BEL_LBE_SA" 7 1135057 1134614 596257 538357 58748 27653 0.001485 0.000704 27329 24831 "BEL_LBE" "BEL"
"P3_G05_ROW_S1_SA" 7 3760464 3759043 2026754 1732289 148666 63562 0.003702 0.000708 59519 47223 "ROW_S1" "ROW"
"P3_G06_RUM_S1_SA" 7 2834152 2832943 1398948 1433995 137028 53931 0.003608 0.000713 51650 45609 "RUM_S1" "RUM"
"P3_G07_RUM_S1_SA" 7 2737624 2736756 1424382 1312374 148286 59288 0.004412 0.000906 55596 47551 "RUM_S1" "RUM"
"P3_G08_RUM_S1_SA" 7 2532504 2531828 1314945 1216883 120342 52791 0.002833 0.000732 51172 42216 "RUM_S1" "RUM"
"P3_G09_BEL_LBE_SA" 7 1948258 1947636 803904 1143732 103510 40362 0.003644 0.00069 39021 36040 "BEL_LBE" "BEL"
"P3_G11_GRH_RUM_HAM_SA" 7 1730696 1729201 905637 823564 114378 40804 0.002289 0.000754 39081 32980 "GRH_RUM" "GRH"
"P3_G12_GRH_PIS_STA_SA" 7 2745489 2744407 1393344 1351063 117280 52770 0.002655 0.000766 51352 42337 "GRH_PIS" "GRH"
"P3_H01_ROW_S1_SA" 7 2630221 2629255 1402322 1226933 136811 58684 0.002751 0.00075 56288 43726 "ROW_S1" "ROW"
"P3_H02_BEL_ROS_SA" 7 1783511 1782413 899589 882824 85650 36484 0.001137 0.00064 35936 31585 "BEL_ROS" "BEL"
"P3_H04_BEL_LBE_SA" 7 1930108 1928985 815366 1113619 110359 41061 0.003516 0.000715 39683 36354 "BEL_LBE" "BEL"
"P3_H05_ROW_S1_SA" 7 2006163 2005441 1030519 974922 131768 47376 0.003558 0.000724 44908 40688 "ROW_S1" "ROW"
"P3_H06_RUM_S1_SA" 7 3426088 3424583 1575332 1849251 139283 53188 0.002814 0.000729 50573 44774 "RUM_S1" "RUM"
"P3_H07_RUM_S1_SA" 7 2590475 2589010 1268216 1320794 153741 56287 0.004152 0.000727 52271 44691 "RUM_S1" "RUM"
"P3_H09_BEL_LBE_SA" 7 1844048 1843499 987716 855783 110770 45287 0.003584 0.000715 43785 39029 "BEL_LBE" "BEL"
"P3_H11_GRH_RUM_TER_SA" 7 1349626 1348710 689495 659215 127457 37682 0.0032 0.000786 34939 29346 "GRH_RUM" "GRH"
"P3_H12_GRH_PIS_PAT_SA" 7 1735355 1734698 926928 807770 123210 46000 0.003779 0.000778 44019 40133 "GRH_PIS" "GRH"
"P6_A02_GRH_RUM_TER_SA" 7 2442113 2440845 1304807 1136038 148067 54689 0.002305 0.00072 50728 43157 "GRH_RUM" "GRH"
"P6_A03_GRH_BEL_ROS_SA" 7 2747613 2745218 1404269 1340949 149433 57309 0.004134 0.000718 53487 44599 "GRH_BEL" "GRH"
"P6_A04_GRH_BEL_ROS_SA" 7 1149942 1149274 595025 554249 107880 34668 0.004619 0.000843 32961 31093 "GRH_BEL" "GRH"
"P6_A05_GRH_PIS_PAT_SA" 7 2300089 2299136 1233199 1065937 133459 51424 0.003644 0.000765 49291 44148 "GRH_PIS" "GRH"
"P6_A06_GRH_PIS_STA_SA" 7 947969 947368 513869 433499 105204 28524 0.002022 0.000685 26913 22730 "GRH_PIS" "GRH"
